t,theta,phi
0.0010001659393310547,1.1102423351135742,-2.0201292709616463
0.002002716064453125,1.1102423351135742,-2.0201292709616463
0.0030028820037841797,1.1102423351135742,-2.0201292709616463
0.004118442535400391,1.1102423351135742,-2.0201292709616463
0.0051839351654052734,1.1102423351135742,-2.0201292709616463
0.0061757564544677734,1.1102423351135742,-2.0201292709616463
0.007131814956665039,1.1102423351135742,-2.0201292709616463
0.008131980895996094,1.1102423351135742,-2.0201292709616463
0.009132146835327148,1.1102423351135742,-2.0201292709616463
0.010144233703613281,1.1102423351135742,-2.0201292709616463
0.011143684387207031,1.1102423351135742,-2.0201292709616463
0.012144327163696289,1.1102423351135742,-2.0201292709616463
0.013144254684448242,1.1102423351135742,-2.0201292709616463
0.0141448974609375,1.1102423351135742,-2.0201292709616463
0.015145301818847656,1.1102423351135742,-2.0201292709616463
0.016289710998535156,1.1102423351135742,-2.0201292709616463
0.01738739013671875,1.1102423351135742,-2.0201292709616463
0.018494129180908203,1.1102423351135742,-2.0201292709616463
0.01949453353881836,1.1102423351135742,-2.0201292709616463
0.02049851417541504,1.1102423351135742,-2.0201292709616463
0.02239513397216797,1.1102423351135742,-2.0201292709616463
0.023440122604370117,1.1102423351135742,-2.0201292709616463
0.024438142776489258,1.1102423351135742,-2.0201292709616463
0.025602102279663086,1.1102423351135742,-2.0201292709616463
0.02660369873046875,1.1102423351135742,-2.0201292709616463
0.0276031494140625,1.1102423351135742,-2.0201292709616463
0.028601646423339844,1.1102423351135742,-2.0201292709616463
0.02960205078125,1.1102423351135742,-2.0201292709616463
0.030567169189453125,1.1102423351135742,-2.0201292709616463
0.03160548210144043,1.1102423351135742,-2.0201292709616463
0.03260183334350586,1.1102423351135742,-2.0201292709616463
0.03365921974182129,1.1102423351135742,-2.0201292709616463
0.034873008728027344,1.1102423351135742,-2.0201292709616463
0.035980224609375,1.1102423351135742,-2.0201292709616463
0.03697943687438965,1.1102423351135742,-2.0201292709616463
0.037929534912109375,1.1102423351135742,-2.0201292709616463
0.03918266296386719,1.1102423351135742,-2.0201292709616463
0.04029035568237305,1.1102423351135742,-2.0201292709616463
0.04128837585449219,1.1102423351135742,-2.0201292709616463
0.042289018630981445,1.1102423351135742,-2.0201292709616463
0.0432887077331543,1.1102423351135742,-2.0201292709616463
