t,x0,x1,x2,x0_dot,x1_dot,x2_dot,theta0,theta1,theta2,theta0_dot,theta1_dot,theta2_dot,tau0,tau1,tau2
0.0,0.15,0.0,0.2,5.084220262865378e-08,-4.879647834566329e-08,-3.433635870472122e-08,-2.757195879094597,-0.38439677449539583,-1.9206867338921267,-8.852794265012893e-07,4.853769779165934e-07,-3.869707590981121e-07,-0.008734487479799297,0.01665318686654942,1.6970805556087827
1e-06,0.150000000000061,-5.855577401479595e-14,0.1999999999999588,2.005406889101319e-07,-1.9244199727613953e-07,-1.3542633923360877e-07,-2.7571958790972233,-0.38439677449395604,-1.9206867338932747,-3.4921519426341737e-06,1.9143112968251193e-06,-1.5262903738390834e-06,-0.021434183247445875,0.04085436688953259,1.675027877257274
2.2e-06,0.15000000000034977,-3.3567225009243684e-13,0.19999999999976378,5.076799707732184e-07,-4.871455680267557e-07,-3.4282981150473927e-07,-2.7571958791061033,-0.38439677448908866,-1.9206867338971556,-8.840876861350136e-06,4.845972007389526e-06,-3.863819111571109e-06,-0.036648948330009284,0.06984838210340046,1.6486078563085103
3.64e-06,0.15000000000122704,-1.1774597916426707e-12,0.19999999999917137,1.059487072440335e-06,-1.0165976531562441e-06,-7.154482510393059e-07,-2.757195879129683,-0.38439677447616416,-1.9206867339074607,-1.845052175441213e-05,1.011291339504054e-05,-8.063405546088616e-06,-0.05487087521135219,0.10457298387701418,1.6169659921175004
5.368e-06,0.150000000003424,-3.285476685227458e-12,0.1999999999976878,1.9848967171203753e-06,-1.9045061275480782e-06,-1.3403477122802607e-06,-2.757195879184651,-0.3843967744460361,-1.920686733931483,-3.456648635498891e-05,1.8945781335170892e-05,-1.5106323883753524e-05,-0.07668568501065398,0.14614434458046383,1.5790852027820872
7.4416e-06,0.15000000000836305,-8.024497372527891e-12,0.19999999999435258,3.4733774378228356e-06,-3.3326601211542887e-06,-2.345472458199208e-06,-2.7571958793029148,-0.38439677438121683,-1.9206867339831666,-6.048834558709947e-05,3.315300937936171e-05,-2.6434558956187082e-05,-0.10278935699030525,0.19588874647079996,1.5337569495439418
9.92992e-06,0.1500000000187345,-1.7975767171732655e-11,0.19999999998734905,5.801997711606297e-06,-5.566900793960781e-06,-3.917923723030871e-06,-2.7571958795440774,-0.38439677424903895,-1.920686734088559,-0.0001010411786311039,5.537916988765727e-05,-4.415680940098109e-05,-0.1340071698727256,0.2553788661167912,1.4795481736502316
1.2915903999999999e-05,0.15000000003952413,-3.792297921215768e-11,0.19999999997331042,9.374248830697069e-06,-8.994374009192417e-06,-6.330179084966646e-06,-2.7571958800175826,-0.3843967739895185,-1.9206867342954892,-0.0001632516156680454,8.947555169271563e-05,-7.134397886264778e-05,-0.17131524113192229,0.3264748183162936,1.41476389628818
1.64990848e-05,0.1500000000798317,-7.659714112146642e-11,0.1999999999460918,1.477559444980026e-05,-1.4176834828531695e-05,-9.977609825698642e-06,-2.7571958809217643,-0.3843967734939515,-1.9206867346906338,-0.00025731513252239967,0.00014103041071079323,-0.00011245198925631671,-0.2158644977070847,0.4113698323048634,1.3374055975165817
2.0798901759999998e-05,0.1500000001560705,-1.4974649492327352e-10,0.19999999989460954,2.2852738542563403e-05,-2.192671471373488e-05,-1.5432019923480597e-05,-2.757195882612347,-0.38439677256736776,-1.9206867354294557,-0.0003979763166293152,0.0002181256448947466,-0.00017392514468104483,-0.269006756731665,0.5126399471914164,1.2451259328548694
